count,label,uid
3,9-Nov,126998
1,9-Nov,70930
1,9-Nov,54964
6,9-Nov,40307
21,9-Nov,4725
4,9-Nov,106244
11,9-Nov,23934
2,9-Nov,43965
6,9-Nov,4828
1,9-Nov,27305
2,9-Nov,2169
1,9-Nov,83444
4,9-Nov,155537
71,9-Nov,27439
5,9-Nov,114996
7,9-Nov,183013
1,9-Nov,82208
20,9-Nov,101090
1,9-Nov,4928
1,9-Nov,190887
1,9-Nov,24231
57,9-Nov,126039
18,9-Nov,202083
2,9-Nov,139361
11,9-Nov,100142
12,9-Nov,158502
1,9-Nov,86463
9,9-Nov,135952
4,9-Nov,189804
65,9-Nov,19068
4,9-Nov,283739
3,9-Nov,50603
8,9-Nov,51428
3,9-Nov,108205
2,9-Nov,47012
2,9-Nov,151350
1,9-Nov,85952
6,9-Nov,2424
1,9-Nov,8355
31,9-Nov,18747
7,9-Nov,119280
165,9-Nov,61974
1,9-Nov,127947
9,9-Nov,84378
9,9-Nov,49048
10,9-Nov,65843
2,9-Nov,233
8,9-Nov,41543
3,9-Nov,112671
33,9-Nov,168225
2,9-Nov,1892
8,9-Nov,7370
24,9-Nov,155693
47,9-Nov,115145
5,9-Nov,97777
2,9-Nov,8655
4,9-Nov,43217
3,9-Nov,13531
2,9-Nov,78162
1,9-Nov,97688
8,9-Nov,30018
3,9-Nov,108741
12,9-Nov,64960
3,9-Nov,7585
5,9-Nov,86937
16,9-Nov,191837
1,9-Nov,1575281
9,9-Nov,71059
1,9-Nov,22710
152,9-Nov,131527
8,9-Nov,191526
20,9-Nov,210578
7,9-Nov,206720
3,9-Nov,20402
2,9-Nov,601581
2,9-Nov,13992
2,9-Nov,37881
5,9-Nov,62931
4,9-Nov,192510
11,9-Nov,95710
2,9-Nov,94559
1,9-Nov,8026
12,9-Nov,8155
1,9-Nov,47961
6,9-Nov,14971
1,9-Nov,718
1,9-Nov,116166
3,9-Nov,125278
5,9-Nov,41596
16,9-Nov,72312
3,9-Nov,174375
1,9-Nov,99492
2,9-Nov,214790
7,9-Nov,11480
1,9-Nov,64203
4,9-Nov,12601
2,9-Nov,158595
3,9-Nov,13370
8,9-Nov,118959
2,9-Nov,149190
99,9-Nov,113794
57,9-Nov,37213
73,9-Nov,111335
30,9-Nov,3171
1,9-Nov,166476
5,9-Nov,11995
6,9-Nov,22595
6,9-Nov,101811
1,9-Nov,115866
25,9-Nov,206302
22,9-Nov,72631
6,9-Nov,8919
1,9-Nov,9457
4,9-Nov,7536
15,9-Nov,16782
8,9-Nov,65696
31,9-Nov,3546
3,9-Nov,21501
1,9-Nov,147356
1,9-Nov,19990
3,9-Nov,87971
1,9-Nov,213136
1,9-Nov,46223
3,9-Nov,34537
45,9-Nov,174728
1,9-Nov,1220
3,9-Nov,18768
2,9-Nov,66475
4,9-Nov,100020
9,9-Nov,377
7,9-Nov,44853
19,9-Nov,22459
1,9-Nov,207752
21,9-Nov,111124
1,9-Nov,1233
4,9-Nov,125921
30,9-Nov,19679
11,9-Nov,19479
105,9-Nov,135152
2,9-Nov,59242
4,9-Nov,166740
29,9-Nov,109702
27,9-Nov,65868
16,9-Nov,138071
2,9-Nov,197878
1,9-Nov,45725
4,9-Nov,96531
8,9-Nov,1693173
4,9-Nov,14131
2,9-Nov,126214
5,9-Nov,217076
34,9-Nov,205229
3,9-Nov,19868
17,9-Nov,68587
4,9-Nov,111435
7,9-Nov,43029
1,9-Nov,183801
6,9-Nov,10098
5,9-Nov,51760
6,9-Nov,69689
1,9-Nov,41981
1,9-Nov,58737
5,9-Nov,168425
1,9-Nov,40714
1,9-Nov,76456
10,9-Nov,95573
2,9-Nov,88709
2,9-Nov,120410
1,9-Nov,51167
6,9-Nov,83741
11,9-Nov,153865
1,9-Nov,95
4,9-Nov,34942
1,9-Nov,79354
15,9-Nov,19540
6,9-Nov,60580
24,9-Nov,1942
5,9-Nov,2354
13,9-Nov,2385
1,9-Nov,2405
5,9-Nov,185171
1,9-Nov,57457
44,9-Nov,55847
13,9-Nov,204693
25,9-Nov,41360
2,9-Nov,4257
1,9-Nov,73831
5,9-Nov,76056
4,9-Nov,58508
1,9-Nov,45859
31,9-Nov,156142
3,9-Nov,19302
1,9-Nov,1338
10,9-Nov,22437
2,9-Nov,30354
4,9-Nov,25688
2,9-Nov,18296
5,9-Nov,1163802
6,9-Nov,69258
74,9-Nov,165297
12,9-Nov,11702
18,9-Nov,194982
4,9-Nov,16007
7,9-Nov,5077
22,9-Nov,135531
5,9-Nov,124839
8,9-Nov,121531
6,9-Nov,7315
45,9-Nov,33708
5,9-Nov,16582
1,9-Nov,767
3,9-Nov,21126
52,9-Nov,65464
9,9-Nov,8670
7,9-Nov,111988
17,9-Nov,99354
1,9-Nov,22076
8,9-Nov,10593
145,9-Nov,18936
1,9-Nov,172074
1,9-Nov,116522
17,9-Nov,17160
10,9-Nov,80572
5,9-Nov,105672
9,9-Nov,80136
1,9-Nov,117587
1,9-Nov,191794
1,9-Nov,58808
3,9-Nov,5975
2,9-Nov,11527
1,9-Nov,211160
99,9-Nov,69083
22,9-Nov,24582
1,9-Nov,154770
13,9-Nov,21574
2,9-Nov,121309
21,9-Nov,13552
3,9-Nov,146377
3,9-Nov,198707
1,9-Nov,15485
10,9-Nov,13131
20,9-Nov,143305
7,9-Nov,14660
223,9-Nov,95810
2,9-Nov,107455
4,9-Nov,77507
29,9-Nov,160807
31,9-Nov,338
14,9-Nov,28053
16,9-Nov,9787
29,9-Nov,52626
24,9-Nov,107642
55,9-Nov,115730
18,9-Nov,8976
2,9-Nov,35634
4,9-Nov,185022
43,9-Nov,126014
1,9-Nov,11829
17,9-Nov,82187
119,9-Nov,12950
1,9-Nov,62571
1,9-Nov,203657
19,9-Nov,267
13,9-Nov,27020
4,9-Nov,105976
24,9-Nov,88558
2,9-Nov,52239
1,9-Nov,128511
4,9-Nov,25824
2,9-Nov,106762
12,9-Nov,149392
3,9-Nov,18196
1,9-Nov,648
1,9-Nov,2635
5,9-Nov,24197
1,9-Nov,2326914
2,9-Nov,134502
9,9-Nov,202919
2,9-Nov,17832
11,9-Nov,131057
5,9-Nov,158065
3,9-Nov,192705
38,9-Nov,104349
7,9-Nov,135786
7,9-Nov,136407
5,9-Nov,91768
1,9-Nov,145173
2,9-Nov,199700
38,9-Nov,30461
8,9-Nov,184686
1,9-Nov,4639
49,9-Nov,126562
5,9-Nov,28278
7,9-Nov,32136
31,9-Nov,50049
10,9-Nov,105570
1,9-Nov,164230
1,9-Nov,27835
24,9-Nov,12716
95,9-Nov,14860
3,9-Nov,6568
1,9-Nov,9908
11,9-Nov,154306
2,9-Nov,155137
2,9-Nov,57601
60,9-Nov,152083
3,9-Nov,54500
2,9-Nov,23691
1,9-Nov,99206
5,9-Nov,97627
1,9-Nov,115200
32,9-Nov,128397
2,9-Nov,137624
19,9-Nov,185722
13,9-Nov,112407
9,9-Nov,34208
3,9-Nov,19404
5,9-Nov,71074
16,9-Nov,166258
1,9-Nov,74449
1,9-Nov,93540
14,9-Nov,133520
64,9-Nov,45
24,9-Nov,166538
6,9-Nov,73488
